kreta
KNYA
NYE
NYF
történelem fakt 11/1_TJ (A)
angol tm NyF/1inf_TVCs
angol 9/9_TVCs (EF/4)
angol 11/9_TVCs (10A11D/1)
angol tm NyE/1_TVCs
angol tm NyE/2_TVCs
angol tm NyF/2tk_TVCs
informatika 10D/1n_FD
matematika korrep 12E_VB
matematika 12E/2_VB
matematika 11F/tkinf-alap_VB
matematika 12F/tkinf-alap_VB
matematika korrep 11F_VB
angol 12/5_VBo (11A12D/1)
angol 9/6_VBo (EF/1)
irodalom 9D/2r_VBZs
nyelvtan 12B/1mt_VBZs
nyelvtan 9D/2r_VBZs
irodalom 11D/alap_VBZs
nyelvtan 12B/2an_VBZs
nyelvtan 9D/1n_VBZs
nyelvtan 11D/alap_VBZs
matematika 9C/2hum_SG
matematika 10B/1_SG
média tv-összejátszás 10F/2tk_PL
nyelvtan korrep 11F/alap_PZ
magyar mint idegen nyelv_JVZ (JY)
magyar mint idegen nyelv_SVI (GA)
magyar mint idegen nyelv_SVI (HIH)
magyar mint idegen nyelv_SVI (NHL)
magyar mint idegen nyelv_SVI (YYH)
magyar mint idegen nyelv_SzL (AMN)
latin szakkör_MÁ
magyar mint idegen nyelv_SVI (SWE)
német OKTV szakkör_JVZ
német korrep_1_JVZ (MJK)
német korrep_2_JVZ (KA)
magyar mint idegen nyelv_SzL (UE)
magyar mint idegen nyelv_SVI (ZS)
gyógytestnevelés MN/1_NVE
gyógytestnevelés MN/2_NVE
gyógytestnevelés MN/3_NVE
testnevelés MN/2_NSz (labdajáték)
