csoport,osztaly
angol NYEF/1_KZs,NYE
angol NYEF/1_KZs,NYF
matematika 12A/1alap_FG,12.A
matematika 10D/1n_FG,10.D
matematika 9B/1_FG,9.B
matematika 9E/2_FG,9.E
kémia 9B/2_FR,9.B
informatika fakt közép 11/1_CsA (BE),11.B
informatika fakt közép 11/1_CsA (BE),11.E
matematika 9A/2_FD,9.A
média NyF/2tk_SzaP,NYF
informatika 10F/2tk_CsA,10.F
média 11F/2tk_PL,11.F
média 10F/2tk_PL,10.F
informatika 12F/1inf_MAt,12.F
informatika 10F/1inf_Mat,10.F
média NyF/2tk_PL,NYF
informatika 9A/2_FD,9.A
informatika 10C/2hum_FD,10.C
informatika 9F/1inf_KA,9.F
testnevelés 10B/fiú_FuG,10.B
testnevelés 10F/fiú_FuG,10.F
testnevelés 9A10D/fiú_FuG,9.A
testnevelés 9A10D/fiú_FuG,10.D
testnevelés 9B/fiú_FuG,9.B
testnevelés 9F/fiú_FuG,9.F
testnevelés 12F/fiú_FuG,12.F
testnevelés 12A/fiú-lány-2_FuG,12.A
angol OKTV szakkör_JA,11.A
angol OKTV szakkör_JA,11.B
angol OKTV szakkör_JA,11.D
angol OKTV szakkör_JA,11.E
angol OKTV szakkör_JA,11.F
angol OKTV szakkör_JA,12.A
angol OKTV szakkör_JA,12.B
angol OKTV szakkör_JA,12.D
angol OKTV szakkör_JA,12.E
angol OKTV szakkör_JA,12.F
német NYEF/1_GA,NYE
német NYEF/1_GA,NYF
német 11/2_GA (EF/1),11.E
német 11/2_GA (EF/1),11.F
olasz oi KNy/3_GBR,KNYA
olasz 9/4_GBR (EF),9.E
olasz 9/4_GBR (EF),9.F
olasz 11/4_GBR (BD),11.B
olasz 11/4_GBR (BD),11.D
művészettörténet 11A/2_GG,11.A
művészettörténet 12A/2_GG,12.A
olasz lekt KNy/3_GG,KNYA
olasz lekt KNy/1_GG,KNYA
olasz 10/3_GG (A/3),10.A
művészettörténet 12A/1_GG,12.A
angol 11/3_HL (BD/2),11.B
angol 11/3_HL (BD/2),11.D
angol 11/7_HL (EF/3),11.E
angol 11/7_HL (EF/3),11.F
informatika fakt emelt 11_FD (ABDF),11.A
informatika fakt emelt 11_FD (ABDF),11.B
informatika fakt emelt 11_FD (ABDF),11.D
informatika fakt emelt 11_FD (ABDF),11.F
angol NYEF/2_HL,NYE
angol NYEF/2_HL,NYF
informatika NyF/1inf_Mat,NYF
kémia 10E/2_HI,10.E
biológia fakt 11/2_HI (ABCD_4ó),11.A
biológia fakt 11/2_HI (ABCD_4ó),11.B
biológia fakt 11/2_HI (ABCD_4ó),11.D
kémia 9B/1_HI,9.B
biológia fakt 11/1_HI (CD),11.D
biológia 12B/2an_HKD,12.B
biológia 12B/1mt_HKD,12.B
irodalom 9C/1mat_HeA,9.C
irodalom 10D/1n_HeA,10.D
irodalom NyE/1_HeA,NYE
irodalom NyF/1inf_HeA,NYF
irodalom NyF/2tk_HeA,NYF
nyelvtan NyF/1inf_HeA,NYF
nyelvtan NyF/2tk_HeA,NYF
irodalom NyE/2_HeA,NYE
nyelvtan 9C/1mat_HeA,9.C
nyelvtan 10D/1n_HeA,10.D
nyelvtan NyE/1_HeA,NYE
matematika 10B/2_HoA,10.B
történelem 11E/alap_KE,11.E
angol 10/3_HBE (CD/1),10.C
angol 10/3_HBE (CD/1),10.D
angol NYEF/4_TVCs,NYE
angol NYEF/4_TVCs,NYF
angol 10/13_HBE (9A10D/3),9.A
angol 10/13_HBE (9A10D/3),10.D
angol NYEF/4_HBE,NYE
angol NYEF/4_HBE,NYF
angol 9/4_HBE (CD/2),9.C
angol 9/4_HBE (CD/2),9.D
angol 12/1_HBE (B),12.B
irodalom 10B/2_KM,10.B
német 12/2_JVZ (11A12BCD),11.A
német 12/2_JVZ (11A12BCD),12.B
német 12/2_JVZ (11A12BCD),12.D
német 10/1_JVZ (D),10.D
történelem 11D/alap_JVZ,11.D
német 11/4_JVZ (10A11BD),10.A
német 11/4_JVZ (10A11BD),11.B
német 11/4_JVZ (10A11BD),11.D
matematika 10E/2_JanA,10.E
kémia 9C/1mat_JanA,9.C
kémia 9A/1_JanA,9.A
matematika 11B/2an-alap_JanA,11.B
kémia 9F/2tk_JanA,9.F
kémia 9A/2_JanA,9.A
kémia 10E/1_JanA,10.E
kémia 9C/2hum_JanA,9.C
irodalom fakt 12/1_KSB (ABDEF),12.A
irodalom fakt 12/1_KSB (ABDEF),12.B
irodalom fakt 12/1_KSB (ABDEF),12.D
irodalom fakt 12/1_KSB (ABDEF),12.E
irodalom fakt 12/1_KSB (ABDEF),12.F
irodalom fakt 11/1_KSB (ABDEF/1),11.A
irodalom fakt 11/1_KSB (ABDEF/1),11.B
irodalom fakt 11/1_KSB (ABDEF/1),11.D
irodalom fakt 11/1_KSB (ABDEF/1),11.E
irodalom fakt 11/1_KSB (ABDEF/1),11.F
irodalom 10D/2r_LL,10.D
nyelvtan fakt 11/1_KSB (ABDEF/1),11.A
nyelvtan fakt 11/1_KSB (ABDEF/1),11.B
nyelvtan fakt 11/1_KSB (ABDEF/1),11.D
nyelvtan fakt 11/1_KSB (ABDEF/1),11.E
nyelvtan fakt 11/1_KSB (ABDEF/1),11.F
nyelvtan fakt 12/1_KSB (ABDEF),12.A
nyelvtan fakt 12/1_KSB (ABDEF),12.B
nyelvtan fakt 12/1_KSB (ABDEF),12.D
nyelvtan fakt 12/1_KSB (ABDEF),12.E
nyelvtan fakt 12/1_KSB (ABDEF),12.F
célnyelvi földrajz fakt 11A_MÁ,11.A
angol 9/1_NK (B/1),9.B
angol 10/2_KZs (B/2),10.B
történelem 10B/2_KE,10.B
történelem fakt 12/4_KE (F),12.F
testnevelés 10E/lány_NSz,10.E
történelem 12E/alap_KE,12.E
történelem 9B/1_KE,9.B
történelem 12B/alap_KE,12.B
történelem 10F/1inf_PZ,10.F
életvitel 12B/alap_KE,12.B
életvitel 12E/alap_KE,12.E
matematika 10E/1_KA,10.E
matematika 10A/1_KA,10.A
matematika fakt 11/2_KA (DBE),11.D
matematika fakt 11/2_KA (DBE),11.B
matematika fakt 11/2_KA (DBE),11.E
matematika NyF/1inf_KA,NYF
matematika 9F/2tk_KA,9.F
informatika 9D/1n_FD,9.D
művészeti modul 11/4_PT (ábrázológeometria BDEF),11.B
művészeti modul 11/4_PT (ábrázológeometria BDEF),11.D
művészeti modul 11/4_PT (ábrázológeometria BDEF),11.E
művészeti modul 11/4_PT (ábrázológeometria BDEF),11.F
olasz 12/1A_KKM (A/1),12.A
olasz 12/2B_KKM (A/2),12.A
olasz 5óra KNy/3_KKM,KNYA
olasz 10/4_KKM (EF),10.E
olasz 10/4_KKM (EF),12.F
olasz oi KNy/2_KKM,KNYA
fizika fakt 12/1_SP (BCE),12.B
fizika fakt 12/1_SP (BCE),12.E
nyelvtan 10B/2_KM,10.B
olasz 8óra KNy/3_TJ,KNYA
francia 11/2_KM (EF),11.E
francia 11/2_KM (EF),11.F
francia 10/1_KM (EF),10.E
francia 10/1_KM (EF),10.F
francia 10/2_KM (BD),10.B
francia 10/2_KM (BD),10.D
francia 11/1_KM (10A11BD),10.A
francia 11/1_KM (10A11BD),11.B
francia 11/1_KM (10A11BD),11.D
matematika 11D/alap2r_SG,11.D
biológia 9E/2_KHG,9.E
biológia 12E/1_KHG,12.E
biológia 9E/1_KHG,9.E
kémia 9F/1inf_KHG,9.F
biológia 12E/2_KHG,12.E
kémia fakt 11/2_KHG (ABDE),11.A
kémia fakt 11/2_KHG (ABDE),11.B
kémia fakt 11/2_KHG (ABDE),11.D
kémia fakt 11/2_KHG (ABDE),11.E
kémia fakt 12/2_SKE (ABDE),12.A
kémia fakt 12/2_SKE (ABDE),12.B
kémia fakt 12/2_SKE (ABDE),12.D
kémia fakt 12/2_SKE (ABDE),12.E
kémia fakt 11/1_KHG (E),11.E
testnevelés 10A11D/lány-2_LaE,10.A
testnevelés 10A11D/lány-2_LaE,11.D
testnevelés 9C/lány_LaE,9.C
testnevelés 9D/lány-1_LaE,9.D
testnevelés 9A/lány-1_LaE,9.A
testnevelés 11A12D/lány-2_LaE,11.A
testnevelés 11A12D/lány-2_LaE,12.D
testnevelés 11E/lány_LaE,11.E
testnevelés 9E/lány_LaE,9.E
irodalom 10C/1mat_LL,10.C
irodalom 12E/alap_LL,12.E
irodalom 11E/alap_LL,11.E
földrajz fakt 12_TG (ABDE),12.A
földrajz fakt 12_TG (ABDE),12.B
földrajz fakt 12_TG (ABDE),12.D
földrajz fakt 12_TG (ABDE),12.E
irodalom 9A/2_LL,9.A
irodalom 9A/1_LL,9.A
történelem 9E/1_LL,9.E
nyelvtan 11E/alap_LL,11.E
nyelvtan 12E/alap_LL,12.E
nyelvtan 10D/2r_LL,10.D
nyelvtan 10C/1mat_LL,10.C
nyelvtan 9A/1_LL,9.A
nyelvtan 9A/2_LL,9.A
angol 12/3_LB (BD/2),12.B
angol 12/3_LB (BD/2),12.D
történelem fakt 12/3_Tk (DE),12.D
történelem fakt 12/3_Tk (DE),12.E
biológia 11E/2_LMG,11.E
biológia 11E/1_LMG,11.E
kémia 9D/1n_LMG,9.D
kémia NyE/2_LMG,NYE
kémia NyE/1_LMG,NYE
történelem 9A/1_LE,9.A
történelem 12A/alap_LE,12.A
történelem 9A/2_LE,9.A
történelem 10A/1_LE,10.A
történelem 10E/2_LE,10.E
történelem 10A/2_LE,10.A
életvitel 12A/alap_LE,12.A
